title,company,location,job description
b'Software Engineer \xe2\x80\x93 Machine Learning',b'Relativity Space',"b'Los Angeles, CA, US'","b'Team And Role Overview\n\nRelativity is looking for a talented Machine Learning Engineer to join the multifaceted Additive Manufacturing team comprised of software, automation and computer vision engineers who work closely with welding engineers. This position will play a crucial role in expanding the intelligent systems that help us autonomously 3D print rockets! This will be the foundational work for our future off-planet printer controls.\n\nThe Mission/Outcomes and Objectives\n\nTo support our mission to reimagine the way rockets are built and flown, you will be joining our Integrated Software team in order to create applications that will run our deposition processes autonomously. This means that you will be leveraging Machine Learning for predictive modelling, intelligent weld parameter development, real-time feature detection and be involved with state of the art research and development in Additive Manufacturing!\n\nYour objectives will entail using time series modelling for detecting temporal changes in deposition characteristics, reinforcement learning for parameter and process development, supervised Learning for classifying welding parameters and image data and unsupervised Learning for finding meaningful clusters in data. You will also be analyzing large volumes of data for gaining useful insights into our 3D printing process.\n\nCandidate Profile\n\nIdeally, you have experience applying Machine Learning to solve real-world problems and are excited to learn about the additive manufacturing process. You enjoy solving complex problems and building intelligent systems in a collaborative environment.\n\nMinimum Required Skills And Competencies\nBachelor\xe2\x80\x99s in Computer Science or Statistics or a relevant field\n5+ years of industry experience in applied Machine Learning\nApplied experience in data exploration\nApplied experience building real-time predictive models\nApplied experience building predictive models with time series data\nApplied experience using Deep Learning\nExpert in Python, R and/or other scripting languages\nExpert in C++, C# and/or other object-oriented languages\n\n\nPreferred Skills And Competencies\nMaster\xe2\x80\x99s/PhD in Machine Learning or Statistics or a relevant field\n7+ years of experience Machine Learning or Statistics\nApplied experience using Reinforcement Learning\nExperience with OpenAI Gym, TensorFlow\nExperience with scipy, keras, caffe, or pytorch\nExperience with time-series databases, visualization tools, and big-data technologies.\nRelevant paper publications\n\n\nThis position must meet Export Control compliance requirements, therefore a United States Person as defined by 22 C.F.R.\n120.15 is required.\n\nWe are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.'"
b'Machine Learning Engineer - Soccer',"b'Second Spectrum, Inc.'","b'Los Angeles, CA, US'","b'Second Spectrum is building the next way of seeing sports. We deliver unique and innovative solutions through unparalleled capabilities in machine understanding of sports.\nWe produce the most accurate tracking data with the fastest high-quality output by leveraging the most automated and extensible solution in the market. We are the official tracking and analytics partner of MLS, EPL and NBA. We also work with other top basketball and soccer (football) leagues and clubs around the world.\nWe generate meaningful and accurate data in the language of sport. Nearly every team in the NBA and ESPN uses our analytics and video platforms.\nWe create cutting edge software and communication tools so we can deliver personalized and interactive technologies for leagues, managers, players, media and fans that save people time and get them what they want in ways that previously did not exist.\nWe launched an innovative product, Clippers CourtVision, which won an NBA Innovation Award and Best in Technology at the 2019 Sports Business Awards, and has subsequently been used by ESPN, Turner Sports, FOX, NBATV, and NBA League Pass among others.\nWe are constantly innovating. We believe that technology will revolutionize the way that sports are played, coached, and experienced, and that the work to make this happen has just begun.\n\nWhat You Will Do\n\nSecond Spectrum is seeking a Machine Learning Engineer to join our AI group. At Second Spectrum, machine understanding of sports forms the foundation of all the products we deliver, which are used by coaches, broadcasters, and fans.\n\nMachine Learning engineers are involved in data extraction, developing state-of-the-art models/algorithms, training and evaluation. The primary focus area of this particular job opening is soccer.\n\nWhat You Have\nWork experience (7+ years of direct, relevant experience) or graduate degree in machine learning\nA solid CS foundation (data structures, object oriented design, modern software engineering practices)\nUnderstanding of the mathematical underpinnings of machine learning/statistical algorithms\nExperience in python and machine learning libraries (scikit-learn, tensorflow, keras)\nData build technologies - AWS, postgres\nData extraction, cleansing, and normalization\nAbsolutely, critical must have - thorough domain knowledge of soccer (coaching, playing, lifelong fan...)\nWhat Sets You Apart\nTeam-oriented engineering habits\nCuriosity and desire to learn new tools and technologies, as well as teach/mentor others\nStrong work ethic\nOur Work Environment And What You Will Benefit From\nCutting-edge products to work on for major professional sports leagues and teams\nTeam-oriented, start-up mindset, innovative and dynamic environment, which encourages growth and provides opportunities to make an impact\nFlat hierarchy and collaborative management led by highly-qualified technical leads\nAs a general approach, we interview for aptitude over specific technologies or languages. Please be prepared to speak to anything listed on your resume or CV.'"
b'Programmer/Analyst (Financial Systems)',"b'Gibson, Dunn & Crutcher LLP'","b'Los Angeles, California'","b'Please attach your resume in PDF format when applying.\n\nThis position can be based out of our Los Angeles, Orange County, San Francisco, Palo Alto, or Denver offices.\n\nGibson, Dunn & Crutcher LLP is an international law firm with over 1,300 attorneys and 20 offices worldwide. We utilize current Microsoft based technologies including Windows 10 and Office 2016.\nWe seek a highly motivated programmer/analyst to join the application development and support team that primary supports Finance along with other departments such as Human Resources, Marketing along with our desktop and web applications.\nThe Programmer/Analyst will join a team of programmers that support the firm\xe2\x80\x99s financial and related applications. Primary responsibilities are:\n\xe2\x80\xa2 Installation and upgrade of commercial financial applications (Aderant, SAP, etc.)\n\xe2\x80\xa2 Configuration, customization and support of Aderant Classic and Expert applications\n\xe2\x80\xa2 Developing and maintaining interfaces between major applications\n\xe2\x80\xa2 Developing Aderant based \xe2\x80\x9cenhancement\xe2\x80\x9d modules\n\nQualifications\nWe are looking for an experienced programmer/analyst with well-rounded project management and communication skills. Technical skills should include:\n\xe2\x80\xa2 .NET, SharePoint, C#, VB.NET, ASP.NET\n\xe2\x80\xa2 Microsoft SQL Server, including SSIS and SSRS\n\xe2\x80\xa2 SAP Business Objects experience\n\xe2\x80\xa2 Data Analytics/Machine Learning/R experience\n\xe2\x80\xa2 Aderant Classic and Services Framework customizations\n\xe2\x80\xa2 Workflow processes/automation would be a plus\n\nExperience\n\xe2\x80\xa2 5+ years as a developer or programmer/analyst\n\xe2\x80\xa2 Financial applications experience is preferred\n\xe2\x80\xa2 Aderant Time & Billing experience is highly preferred\n\xe2\x80\xa2 Prior work with a legal or other professional services firm is required\n\xe2\x80\xa2 BS degree in a computer related field or equivalent experience\nSTRONG SAP EXPERIENCE IS REQUIRED\n\nGibson Dunn will consider for employment qualified Applicants with Criminal Histories in a manner consistent with the requirements of the Fair Chance Initiative for Hiring Ordinance.'"
b'Machine Learning Engineer',b'Oooh',"b'Los Angeles, California, United States'","b'Oooh is a team of 17 who have built some of the biggest global phenomenons in video and video games and have come together with a moonshot mission. Backed by an incredible group of Silicon Valley and LA VC\xe2\x80\x99s, founders, product and technology leaders and entertainment moguls\xe2\x80\x94all of whom feel personally connected to our purpose\xe2\x80\x94we\xe2\x80\x99re quietly building a smarter and healthier next-gen digital platform focused on younger audiences. And, one that\xe2\x80\x99s way more fun. That\xe2\x80\x99s about all we can say here :)  \n\nWe\xe2\x80\x99re looking to bring on a dedicated UI/UX Designer. As a designer, you will collaborate closely with our other designers and PMs to drive major facets of the UI/UX design function. You will own entire design arcs from end-to-end, for a massive mobile-first interactive platform. You will be on the ground floor leading creative ideation, user research, concepting and prototyping, all the way through testing, production and optimization.\n\nIdeally, you\xe2\x80\x99ve done it before, and you have spent time at well-known social and video platforms used by the youth today: YouTube, Twitch, Instagram, Snapchat, TikTok, etc. or highly-social gaming apps. Your style, voice and genuine enthusiasm must speak to and for these younger audiences\xe2\x80\x99 tastes and culture today.  \n\nIt\xe2\x80\x99s your innate curiosity, wonder and interest in staying up with the latest tech, especially social and video apps, that will be key to your long-term success in this role. A statistician by trade, an artist at heart, you have enough confidence as an experienced designer to know when to lead from data but also break from convention through bold and risk-taking design.\n\nRESPONSIBILITIES\nLead all stages of design processes, with a focus on UI/UX\nRapidly prototype, implement and test/QA new and iterative designs and products\nActively work with PMs to define short and long-term product roadmap and strategy\nBe scrappy. Be two design steps ahead, and love working with sleeves fully rolled up\nLead through experience. So many early stage company data-driven decisions come from past analogs. Be well-equipped with your data points and even more researched on others.\nLove to talk to our users! Have constantly up-to-date and genuine customer empathy. It\xe2\x80\x99s your creation that should inspire respect and admiration from our users\nCollab. Work closely with the team throughout your design process. We are a flat-structured, small team. No egos\nRelish the opportunity to be one of the first hires in a well-funded, revolutionary new company, and know what it takes to operate successfully in a fast-moving startup\n\nEXPERIENCE\nHave worked in a UI/UX design role in another social media, mobile video platform or social-gaming company.\n2+ years experience in a similar role.\nAbility to prototype in programs such as Invision, Figma, Sketch, Overflow, or Principle\nAdvanced knowledge in the Adobe Creative Suite, especially Photoshop and Illustrator. Adobe XD a plus.\n*BONUS*\nUnity UI implementation\nProficient with motion graphic design\nArtist, Illustrator, Animation or Video Editing skillz.\n\nENVIRONMENT\nSmall team moving fast. All of the ownership with none of the BS.\nLocation: Los Angeles, CA. Also open to Kelowna, BC, Canada.\n\nPERKS\nPremier Medical, Vision, Dental and Disability insurance\nUnlimited PTO\nMaternity and Paternity Leave\nOther typical startup life benefits\xe2\x80\x94that you have a say in\xe2\x80\x94as we grow.\nOccasional travel between offices.'"
b'Machine Learning Engineer',b'Big Cloud',b'Greater Los Angeles Area',"b""Work with industry experts in combining the best of deep learning and semiconductor design, to bring on-edge machine learning to listening devices.\n\nThe company is looking for a strong speech and audio machine learning engineer with the ability to implement speech and audio algorithms in high quality, seamless code.\n\nThe company is well-funded, about to complete their series A, and are confident they have a homerun venture, exemplified by the interest by major technology companies who see the value of implementation into their hardware devices.\n\nResponsibilities:\nDesign and implement signal processing algorithms on devices that adopt a microphone array to achieve the state-of-art speech recognition performance \n Design and implement robust acoustic modeling algorithms for adverse acoustic conditions, such as far-field, reverberant, and noisy environments\n\nQualifications:\nPh.D. or Master's degree in Computer Science, Electrical Engineering, Signal processing\nExperience with acoustic signal processing algorithms \nExperience with common signal processing and speech recognition toolkits \nExperience with deep learning frameworks\nExperience with building embedded systems is a plus \nPublication record in top speech conferences/journals is a plus\n\nKeywords; speech recognition, speech processing, audio signaling, acoustic signal processing, speaker verification, speech signal processing, long short term memory, lstm, ICASSP, Interspeech, language translation, noise suppression, multi-channel signal processing, acoustic echo cancellation, speech coding, audio coding, TTS, text-to-speech\n\n Big Cloud is acting as a vendor to this position which is a direct hire."""
b'Machine Learning Engineer',b'Whip Media Group',"b'Los Angeles, CA, US'","b'Whip Media Group\'s products, including Mediamorph, TV Time and TheTVDB, offer a data-driven integrated cloud solution that empowers the world\'s leading entertainment organizations to efficiently acquire, distribute and monetize their content. Together, our companies track billions of consumer actions and financial transactions that accelerate innovation for buyers and sellers of content. Whip Media Group has offices in Los Angeles, New York City and London.\n\nWhip Media Group is adding on a Machine Learning Engineer to its team in Santa Monica! You will be the primary driver of all machine learning services and initiatives; you will be translating our business goals and ideas into data products through the creation of scalable novel algorithms. We are looking for talented leaders who love to play with the latest and greatest technologies yet still deliver reliable and efficient systems.\n\nHow You Will Contribute\nTranslate our business strategy into a machine learning vision; then digest that vision into short/long term plans on how we get there.\nCreate, maintain, and iterate on our machine learning products on\nthe business to consumer apps that millions of users will use every month\nthe business to business products that backs billions of dollars worth of decisioning every month.\nWork closely with the data engineering team and data insights team to ensure efficient extraction of signal from our extensive data sets.\nCommunicate findings with company leadership and external clients\nMaintain and iterate on the machine learning services throughout the company\n\n\nTo Be Successful In This Role You\'ll Need\n5+ years working as a Senior/Lead Data Scientist\nHistory of leading projects via multidisciplinary teams that produced game-changing work\nExtensive experience architecting complex algorithms/data products to address large scale business challenges, extensive knowledge on recommendation systems preferred\nExtensive experience designing and instituting ""production quality"" machine learning algorithms\nExperience with a variety of ML toolkits in a variety of languages\nAbility to write complex SQL queries and a strong understanding of relational databases and noSQL data warehouses\nExperience coding in Python with knowledge of R and Java/Scala a plus.\nPhD degree in Computer Science, Math, Statistics or a related technical field preferred, MS required.'"
b'Artificial Intelligence/Machine Learning Engineer',b'The Aerospace Corporation',"b'El Segundo, CA, US'","b""Requisition ID: 51543\n\nAll Locations: El Segundo, CA (California)\n\nA trusted partner. A national resource. A leader in national security space. We are THE Aerospace Corporation. A team that takes pride in our readiness to solve some of the most complex technical challenges in existence. With challenges spanning government to commercial, you\xe2\x80\x99ll have the unique opportunity to work on projects that are literally evolving our nation's space and launch capabilities. We all share a common passion and aspiration \xe2\x80\x93 to serve a mission much bigger than ourselves. When you join our team, you\xe2\x80\x99ll be part of a rare collection of thought leaders and game-changing innovators. Are you ready to launch your career?\n\nResponsibilities\n\nThe Aerospace Corporation is seeking an Artificial Intelligence/Machine Learning (AI/ML) Engineer with a keen knowledge and interest in leveraging cutting edge technologies for space-domain specific applications and solutions focused on developing effective enterprise-level AI/ML technologies and frameworks. The qualified candidate will become part of Aerospace\xe2\x80\x99s Data Science and AI Department, where they will develop tools, prototypes and production systems and analytic applications for mission-critical space systems.\n\nKey Functions\nAssessment of the maturity and prevalence of Artificial Intelligence and Machine Learning technologies in industry for use in scalable and resilient mission-critical applications in a production environment\nEvaluation of selected technologies for specific system development tasks\nPresentation of evaluation results to senior members of the team with a recommendation for the best path forward for projects\nDevelopment of prototypes and proof-of-concept software/systems for distributed, mission-critical systems\nApplication of engineering techniques, procedures, and criteria in software and Artificial Intelligence/Machine Learning system development and design\nDevelopment of proof-of-concept infrastructure configuration and software prototypes for/with team leads\nDevelopment and execution of experiments with other advanced information technologies (e.g. virtualization/cloud platforms, software technologies, etc.) to prove technology viability for Artificial Intelligence/Machine Learning solutions for specific applications/systems\nAbility to work in small teams, as well as independently drive projects\nLearning and understanding of new and cutting-edge technologies for utilization within product development and lifecycles\nCreating an environment of learning and progress with team members and others\n\nThis position is available as AI/ML Engineer or Sr. AI/ML\n\nQualifications\n\nRequired for AI/ML Engineer\nBachelor's degree in Machine Learning, Data Science, Computer Science, Computer Information Systems, Engineering, Physics, Mathematics or a related field from a recognized institution\nTwo or more years of software development in at least two different languages (e.g. Java, Python, C/C++)\nOne or more years of experience developing Artificial Intelligence/Machine Learning solutions in TensorFlow, Keras, PyTorch, Caffe, SciKit Learn, or any other machine learning frameworks\nUnderstanding of full-stack software engineering process\nExperience with machine learning methods like random forests, logistic regression, neural networks, k-nearest neighbors, etc.\nExperience with Artificial Intelligence techniques like Probabilistic Programming, Genetic Algorithms, Reinforcement Learning and adaptive systems\nWorking knowledge of Unix/Linux operating systems\nLeadership or technical responsibility in one or more software development or computer engineering projects\nThis position requires the ability to obtain and maintain a Secret security clearance, which is issued by the U.S. government. U.S. citizenship is required to obtain a security clearance.\n\n\nRequired For Sr. AI/ML Engineer\nAll requirements necessary for AI/ML Engineer\nFamiliarity/Experience with full ML/AI development life-cycle (e.g. data management, data curation, data pipelines, model development, model deployment, model auditing)\nFive or more years of progressively responsible experience in relevant Artificial Intelligence/ Machine learning or Data Science roles\nExpertise in Python, CUDA, and/or C++ programming languages\nStrong experience working with Unix/Linux operating systems\nThis position requires the ability to obtain and maintain a Secret security clearance, which is issued by the U.S. government. U.S. citizenship is required to obtain a security clearance.\n\n\nPreferred\nAdvanced degree in a technically related field\nActive security clearance\nParticipation in extracurricular activities related to data science (e.g. Kaggle competitions)\nExperience with data visualization and user interfaces\nExperience with statistical modeling tools (R, Python, Octave/Matlab, etc.)\nExperience in implementing real-time machine learning and data mining algorithms in large scale environments\nExperience with big data frameworks (e.g. Hadoop, Spark, etc.)\nExperience in image/signal processing, statistics, data mining, and predictive modeling\nExperience in SQL, NoSQL, and other big data querying languages\nFamiliarity with statistical tests, distributions, maximum likelihood estimators, etc.\nProficiency in at least one visualization tool and/or library (D3, Matplotlib, MS Excel, etc.)\nExperience utilizing Scikit-learn, OpenCV, Caffe/TensorFlow/PyTorch libraries\nExperience in collecting data from/exposing data to various data sources and services (API, XML, JSON, etc.)\nDemonstrated ability to effectively define goals and track progress on tasks\nDemonstrated ability to apply initiative and creativity to solve problems\nDemonstrated ability to cooperate as a member of a team\nDemonstrated ability to operate independently and proactively seek guidance as needed\n\n\nTranscript Requirement\n\nTranscripts are required for this position.\n\nAdditional Requisition Details\n\nSystem Job Title: MEMBER-TECH STF\n\nClearance Requirement: None\n\nAccess: None\n\nPolygraph: None\n\nEmployment Type: Regular\n\nWork Schedule: Full Time\n\nCompany Statement\n\nThe Aerospace Corporation has provided independent technical and scientific research, development, and advisory services to national security space programs since 1960. We operate a federally funded research and development center (FFRDC) for the United States Air Force and the National Reconnaissance Office, and support all national security space programs. We also apply more than 50 years of experience with space systems to provide critical solutions to technologically complex systems in such areas as communications, shipping, law enforcement, and cyber, among others.\n\nFrom our inception, our highly skilled technical staff has focused on ensuring the success of every mission and developing the most effective and economic space-related hardware and software in the world. Our greatest asset is the technical expertise of our people. Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world.\n\nEqual Opportunity Commitment\n\nThe Aerospace Corporation is an Equal Opportunity/Affirmative Action employer. We believe that a diverse workforce creates an environment in which unique ideas are developed and differing perspectives are valued, producing superior customer solutions. All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, gender, gender identity or expression, color, religion, national origin, sexual orientation, protected veteran status, or disability status.\n\nYou can also review"""
b'R&D / Machine Learning Engineer (Biometric Systems)',b'Jobot',"b'Calabasas, CA, US'","b'Calling all R&D / Machine Learning Engineers (Biometric Systems)\n\nThis Jobot Job is hosted by Mordy Ornguze\nAre you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume.\nSalary $100,000 - $170,000\n\nA Bit About Us\n\nWe are looking for a solid research and development engineer who can assist in the development of our product technology and can generate and execute test plans as needed accordingly. The candidate must be able to understand existing system dynamics and its implementation, then develop techniques, architect test strategies and tools to ensure solid deliverables for internal and external customers.\n\n\n\nWhy join us?\n\nCompetitive Base Salary!\nBe part of an exciting, early stage Company\nVery competitive compensation and meaningful equity!\nExceptional benefits Medical, Dental, Vision, and more!\n\nJob Details\nExperience in embedded development environment\nExperience or knowledgeable of facial recognition algorithms / machine learning techniques\nExperience in profiling and bench marking\nExperience with regression testing /generating design of experiments\nProactively learn our system design and implementation to drive test effort along each milestone\nPython and shell scripting development\nSolid logical and critical thinking\nGood communication skills and ability to work within and across teams\nNice to have\nKnowledge of LiDAR and biometric systems\nExperience with Matlab, C/C++ programming\n\nInterested in hearing more? Easy Apply now by clicking the ""Apply"" button.'"
b'[ENGINEERING] Artificial Intelligence/Machine Learning Engineer',b'Masimo',"b'Irvine, CA, US'","b'Masimo (NASDAQ: MASI) headquartered in Irvine, California, is a fast-growing and award-winning international medical technology and device company with operations spanning the globe. We develop innovative, noninvasive monitoring technologies that save, extend and improve the lives of people of all ages, in all walks of life. These revolutionary technologies are helping to solve ""unsolvable"" problems that have plagued the healthcare industry, while taking the pain and discomfort out of blood monitoring. For more than 20 years, innovation has been and will continue to be our passion.\n\nTo learn more about us, please visit: www.masimo.com\n\nJob Summary\n\nAs a part of Masimo\xe2\x80\x99s Algorithms group you will perform research and development of Artificial Intelligence and Machine Learning algorithms which transform medical data obtained primarily from Masimo\xe2\x80\x99s non-invasive medical technologies into information that supports better clinical decisions. The algorithms group is responsible for transforming sensor data into measurements that are clinically relevant. Your responsibilities will include developing novel AI models which autonomously discover the correlations between sensed data and medically relevant conditions such as detecting specific diseases and predicting the likelihood and timing of future events. You will also engage with various groups such as software, hardware and systems to ensure that these algorithms can be practically deployed with high accuracies with minimal resource usage and maximum ease of use in existing and future Masimo products.\n\nDuties & Responsibilities\nDesigning, training and verifying machine learning models\nQuickly prototype new ideas/technologies to create proof of concept and demos\nContribute to the organization\xe2\x80\x99s strong drive to be on the cutting edge of technology through the generation of patentable ideas\nEffectively communicate with engineering and marketing teams\nDelivering high quality software design, documentation and implementation\n\n\nMinimum Qualifications\nB.S. degree in Computer Science\nExperience with AI frameworks such as: Tensorflow, Keras, Pytorch, Caffe, etc.\nExperience in Python and C++\nFamiliarity with AI algorithms for problems, like regression, classification, clustering, dimensionality reduction, structured output, anomaly detection etc.\nAbility to understand recent AI research papers and adapt those models to solve problems that are relevant to Masimo\xe2\x80\x99s mission\nExcellent communication and organizational skills\n\n\nPreferred Qualifications\nPh.D. or M.S. degree in Computer Science specialized in Artificial Intelligence/Machine Learning/Deep Learning\n3+ years of industrial experience in Artificial Intelligence / Machine Learning / Deep Learning\nExperience in applying AI to biomedical data analysis\nExperience with robotics, computer vision and databases\n\n\nEducation\n\nB.S. degree in Computer Science with AI/ML courses\nPhysical requirements/Work Environment\nThis position primarily works in an office environment. It requires frequent sitting, standing and walking. Daily use of a computer and other computing and digital devices is required. May stand for extended periods when facilitating meetings or walking in the facilities. Some local travel is necessary, so the ability to operate a motor vehicle and maintain a valid Driver\xe2\x80\x99s license is required.\n\nThe physical demands of the position described herein are essential functions of the job and employees must be able to successfully perform these tasks for extended periods. Reasonable accommodations may be made for those individuals with real or perceived disabilities to perform the essential functions of the job described.\n\nWe are proud to offer if eligible a highly competitive compensation plan with an excellent benefits package including 3 weeks vacation, stock options, 401k match, medical, dental, vision plans and much more!\n\nMasimo is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex including sexual orientation and gender identity, national origin, disability, protected Veteran Status, or any other characteristic protected by applicable federal, state or local law.\n\nNO AGENCIES PLEASE*** Thank you!'"
b'Machine Learning Engineer',b'Ejento',"b'El Segundo, CA, US'","b""VC Backed startup, that specializes in defense systems. They are addressing threats against Drones and IED\xe2\x80\x99S. Their team combines years of aerospace, defense experience mixed with Silicon innovation. They help provide protection to Airports, Stadiums/Concerts and the Military. If you are passionate about the Aerospace industry than this is the right opportunity for you!\n\nRequired Skills\nUndergraduate degree in Computer Science, Mathematics, Statistics, or other related field (or equivalent professional experience)\n2+ years' experience working on production machine learning systems\nFundamental knowledge of machine learning practice and theory, including model selection, development, optimization, and deployment\nComfortable writing robust code in Python and using Python ecosystem mathematical packages (numpy, pandas, matplotlib, scipy, etc.)\nExperience with one or more ML model development frameworks (TensorFlow, Keras, scikit-learn, PyTorch, Caffe, Apache Spark)\nStrong knowledge of computer science concepts (algorithms, data structures, object- oriented programming, etc.)\nUS Citizenship (Future security clearance will be required)\n\n\nDesired Skills\nPractical development of deep learning models using neural networks\nExperience with computer vision and related techniques (object recognition, motion estimation, etc)"""
b'Machine Learning Engineer',b'Artie',"b'Los Angeles, CA, US'","b""Artie is a deep tech company building a next-gen platform for AI games. We enable developers to create hyper-personalized games where players communicate with game characters via voice and computer vision. All of the games on our cloud-based platform can be shared and played instantly inside of popular apps, including Instagram, Snapchat, and YouTube, with no download needed.\n\nWe're looking for a Machine Learning Engineer with experience optimizing neural network models and deploying them into production apps on mobile devices.\nDevelop and deploy production-quality machine learning technology for mobile devices\nBuild robust, lasting, and scalable products that can be used by millions\nLearn new techniques and stay on the cutting edge\nIntroduce major innovations that can lead to new product features or new areas of business\n\n\nRequirements\nBachelor's degree in a technical field such as computer science\n2+ years of software engineering experience\n1+ years of applied deep learning experience\nExperience with deep learning frameworks (e.g. TensorFlow, Caffe, PyTorch)\nStrong C++ coding skills\nA proven track record in developing and optimizing real-time, production-quality software\nStrong AWS experience\nInterest/basic knowledge of game engines\nInterest/basic knowledge of augmented reality\nA data-driven user testing and design process philosophy\n\n\nBenefits\nEquity in the company\nHealth + dental insurance\n401K\nLearning/development budget\nFully-stocked kitchen, weekly team lunch and monthly team outings\nDog-friendly office in DTLA\n\nArtie Inc.\xe2\x80\x99s policy is to provide equal employment opportunities to all applicants and employees without regard to race, color, religion, creed, gender, gender identity or expression, age, national origin or ancestry, citizenship, disability, sexual orientation, marital status, pregnancy, veteran status, membership in the uniformed services, genetic information, or any other basis protected by applicable law."""
